Species	Covered_bases	Breadth	TotalBases	Average_coverage	Average_coverage_on_covered_area
Pseudomonas sihuiensis	1367	0.024961804057324864	1367	2.4961804057324865e-4	1
Pseudomonas soli	360	0.006377427873505136	360	6.377427873505136e-5	1
Pseudomonas straminea	4141	0.08294943429727747	4141	8.294943429727747e-4	1
Pseudomonas stutzeri	515	0.01132383304052613	515	1.132383304052613e-4	1
Pseudopedobacter saltans	1159	0.025004120610040134	1159	2.5004120610040134e-4	1
Rheinheimera aquimaris	841	0.019563935919618976	841	1.9563935919618975e-4	1
Rheinheimera nanhaiensis	761	0.019086051507258846	999	2.505514514553428e-4	1.3127463863337714
Rheinheimera tuosuensis	452	0.011239383196575073	649	1.61379639260558e-4	1.4358407079646018
Rhizobium album	433	0.006303947523203768	559	8.13835257614528e-5	1.2909930715935334
Rhizobium arenae	510	0.010324687116430283	510	1.0324687116430283e-4	1
Rhizobium freirei	277	0.003910291421173537	277	3.9102914211735367e-05	1
Rhizobium larrymoorei	10147	0.19652034838736915	11467	0.0022208523060588963	1.130087710653395
Rhizobium phaseoli	279	0.004194162357377809	279	4.1941623573778094e-5	1
Rhizobium radiobacter	14704	0.2048226655558176	14704	0.002048226655558176	1
Rhizobium rhizosphaerae	558	0.01007724806608941	558	1.007724806608941e-4	1
Rhizobium smilacinae	871	0.014502041357957168	1153	1.9197306183380727e-4	1.3237657864523535
Rhizobium subbaraonis	614	0.009336288709674722	877	1.333538305925852e-4	1.4283387622149837
Rhizobium yanglingense	2509	0.031365240537892	15711	0.001964046608572424	6.261857313670785
Rhodobacter aestuarii	433	0.011272662803414914	433	1.1272662803414915e-4	1
Rhodobacter blasticus	1211	0.03375107370777423	1813	5.052906410585853e-4	1.4971098265895955
Rhodobacter capsulatus	363	0.00989418401873953	363	9.89418401873953e-5	1
Rhodobacter maris	1333	0.03477019716762444	1698	4.4290918822675386e-4	1.2738184546136535
Rhodobacter ovatus	795	0.020887714739501295	830	2.180729966513972e-4	1.0440251572327044
Rhodobacter sphaeroides	565	0.012274664852768109	565	1.227466485276811e-4	1
Rhodobacter veldkampii	789	0.02416942491166213	1102	3.375754911616181e-4	1.396704689480355
Rhodobacter viridis	1016	0.02626432614295704	1190	3.076235050208551e-4	1.171259842519685
Saccharomyces arboricola	1369	0.011781898047423646	1578	1.3580595411858665e-4	1.1526661796932067
Saccharomyces bayanus	1009	0.008503778323944904	1009	8.503778323944904e-5	1
Saccharomyces cerevisiae	1258725	10.353821900855507	1420715	0.1168629373522726	1.1286937178494112
Saccharomyces eubayanus	822	0.0070051805099515755	1054	8.982311748770024e-5	1.2822384428223845
Saccharomyces jurei	4057	0.03398175924162296	4768	3.9937152591584487e-4	1.1752526497411881
Saccharomyces kudriavzevii	3275	0.029269669463655428	3806	3.4015377703411467e-4	1.1621374045801527
Saccharomyces mikatae	2985	0.02602384202403243	4116	3.588413191655527e-4	1.378894472361809
Saccharomyces paradoxus	35202	0.29649739396124714	45834	0.003860479959894268	1.3020282938469405
Saccharomyces pastorianus	593230	3.0629927963932038	668447	0.034513567179182573	1.1267923065252938
Saccharomyces uvarum	1384	0.012058323602016424	1923	1.6754448184015593e-4	1.3894508670520231
Schleiferilactobacillus harbinensis	7555	0.24100198128829356	96647	0.030830070794930123	12.792455327597617
Schleiferilactobacillus perolens	25382	0.7670180428438594	441498	0.1334161736188946	17.394137577811048
Secundilactobacillus collinoides	48556	1.3630753017975492	779203	0.2187396746821311	16.04751215091853
Secundilactobacillus kimchicus	413	0.015925844947053312	413	1.5925844947053312e-4	1
Secundilactobacillus malefermentans	15910	0.7939430776247779	117188	0.058479322049461005	7.365681961030798
Secundilactobacillus mixtipabuli	25763	1.0259569538520477	131375	0.05231731351640444	5.099367309707721
